date,opponent_1,opponent_2,opponent_1_rounds_boxed,opponent_2_rounds_boxed,opponent_1_round_ko_percentage,opponent_2_round_ko_percentage,verdict
8/31/2019,Vasyl Lomachenko,Luke Campbell,119,130,8.4,12.31,Lomachenko won via UD in round 12
9/19/2019,Orlando Fiordigiglio,Sam Eggington,200,177,6.5,8.47,Eggington won via KO in round 2
10/5/2019,Gennady Golovkin,Sergiy Derevyanchenko,200,81,17.5,12.35,Golovkin won via UD in round 12
10/12/2019,Chazz Witherspoon,Oleksandr Usyk,182,125,15.93,9.6,Usyk won via RTD in round 7
9/27/2019,Ebenezer Tetteh,Daniel Dubois,38,39,23.68,30.77,Dubois won via TKO in round 1
9/28/2019,Shawn Porter,Errol Spence Jr,219,108,7.76,19.44,Spence Jr won via SD in round 12
9/13/2019,Zaur Abdullaev,Devin Haney,60,110,8.33,12.73,Haney won via RTD in round 4
9/14/2019,Tyson Fury,Otto Wallin,174,90,11.49,14.44,Fury won via UD in round 12
8/31/2019,Alexander Povetkin,Hughie Fury,231,130,10.39,10,Povetkin won via UD in round 12
10/18/2019,Artur Beterbiev,Oleksandr Gvozdyk,52,88,26.92,15.91,Beterbiev won via TKO in round 10
10/26/2019,Regis Prograis,Josh Taylor,98,79,20.41,16.46,Taylor won via MD in round 12
10/19/2019,Ted Cheesman,Scott Fitzgerald,103,59,8.74,15.25,Fitzgerald won via UD in round 12
10/26/2019,Dereck Chisora,David Price,252,105,8.73,18.1,Chisora won via TKO in round 4
11/9/2019,Olajide William Olatunji,Logan Paul,0,0,0,0,Olatunji won via SD in round 6
11/22/2019,Kieran Gething,Jeff Ofori,74,,2.7,,Draw - 10 round SD decision
11/2/2019,Sergey Kovalev,Saul Alvarez,173,391,16.76,8.95,Alvarez won via KO in round 11
11/22/1986,Mike Tyson,Trevor Berbick,74,253,33.78,,Tyson won via TKO in round 2
10/30/1974,George Foreman,Muhammad Ali,120,365,30.83,,Ali won via KO in round 8
7/26/1986,Mike Tyson,Marvis Frazier,61,106,36.07,,Tyson won via TKO in round 1
4/6/1987,Sugar Ray Leonard,Marvin Hagler,244,386,9.84,13.47,Leonard won via SD in round 12
6/27/1988,Mike Tyson,Michael Spinks,119,225,25.21,9.33,Tyson won via KO in round 1
12/5/2008,Raul Pinzon,Saul Alvarez,60,129,25,11.63,Alvarez won via TKO in round 1
4/20/2002,Jose Luis Castillo,Floyd Mayweather Jr,230,154,17.83,12.99,Mayweather Jr won via UD in round 12
12/6/2008,Bela Gyongyosi,Tyson Fury,56,,1.79,,Fury won via TKO in round 1
3/16/1996,Frank Bruno,Mike Tyson,167,161,22.75,22.98,Tyson won via TKO in round 3
2/28/2009,Daniil Peretyatko,Tyson Fury,190,,,50,Fury won via RTD in round 2
1/17/2009,Saul Alvarez,Antonio Fitch,130,42,12.31,23.81,Alvarez won via TKO in round 1
4/11/2009,Mathew Ellis,Tyson Fury,113,,,40,Fury won via KO in round 1
3/6/2009,Deontay Wilder,Shannon Gray,2,4,50,,Wilder won via TKO in round 1
4/24/2009,Joseph Rabotte,Deontay Wilder,18,,,75,Wilder won via KO in round 1
5/23/2009,Scott Belshaw,Tyson Fury,38,11,18.42,45.45,Fury won via TKO in round 2
6/26/2009,Deontay Wilder,Kelsey Arnold,6,19,83.33,,Wilder won via KO in round 1
8/14/2009,Travis Allen,Deontay Wilder,18,7,,85.71,Wilder won via TKO in round 1
9/15/2009,Carlos Leonardo Herrera,Saul Alvarez,116,163,6.9,12.88,Alvarez won via TKO in round 1
3/5/2010,Tyson Fury,Hans-Joerg Blasko,32,34,21.88,17.65,Fury won via TKO in round 1
5/26/2012,Jesse Oltmanns,Deontay Wilder,40,35,17.5,60,Wilder won via TKO in round 1
11/26/2011,Deontay Wilder,David Long,30,46,63.33,,Wilder won via KO in round 1
9/8/2012,Damon Mccreary,Deontay Wilder,41,40,24.39,60,Wilder won via KO in round 2
10/5/2013,Emanuele Leo,Anthony Joshua,31,,9.68,,Joshua won via TKO in round 1
12/15/2012,Deontay Wilder,Kelvin Price,42,53,59.52,,Wilder won via KO in round 3
10/26/2013,Paul Butlin,Anthony Joshua,167,,,100,Joshua won via TKO in round 2
11/14/2013,Hrvoje Kisicek,Anthony Joshua,46,,,66.67,Joshua won via TKO in round 2
11/24/2013,Andy Ruiz Jr,Tor Hamer,67,67,20.9,20.9,Ruiz Jr won via RTD in round 3
3/1/2014,Hector Alfredo Avila,Anthony Joshua,178,,,57.14,Joshua won via KO in round 1
2/1/2014,Dorian Darch,Anthony Joshua,33,,,60,Joshua won via TKO in round 2
5/31/2014,Matt Legg,Anthony Joshua,27,8,,62.5,Joshua won via KO in round 1
7/12/2014,Matt Skelton,Anthony Joshua,197,,,66.67,Joshua won via TKO in round 2
9/13/2014,Konstantin Airich,Anthony Joshua,153,,,63.64,Joshua won via TKO in round 3
10/11/2014,Denis Bakhtov,Anthony Joshua,264,,,57.14,Joshua won via TKO in round 2
11/22/2014,Michael Sprott,Anthony Joshua,357,,,56.25,Joshua won via TKO in round 1
4/4/2015,Jason Gavern,Anthony Joshua,267,,,58.82,Joshua won via KO in round 3
